Patient,Lag,Model,MSE,RMSE,Avg Corr
sub3,40,XGBoost,0.5921754904642168,0.7695293954516726,0.7195509462489118
sub3,40,Hist Gradient Boosting,0.6890334427744504,0.8300803833210676,0.6427014350461753
sub3,40,LightGBM,0.7087997495260977,0.8419024584392765,0.6280661584802715
sub3,40,CatBoost,0.8024409852111472,0.8957907039097621,0.5519605392702892
sub3,40,Ridge Regression,0.9923368675314599,0.9961610650549739,0.2976587293464631
sub3,42,XGBoost,0.5962294874833113,0.7721589781148124,0.717361784327251
sub3,42,Hist Gradient Boosting,0.6900721812923793,0.8307058331878857,0.6417791580406276
sub3,42,LightGBM,0.7094876545342238,0.8423109013506971,0.6290326189773494
sub3,42,CatBoost,0.8036865110681681,0.8964856446525891,0.5523492746053463
sub3,42,Ridge Regression,0.9946775477967827,0.9973352233811773,0.29627865473374176
sub3,44,XGBoost,0.5920194803447371,0.7694280215489536,0.7196307468209806
sub3,44,Hist Gradient Boosting,0.6882726599541341,0.8296219982342163,0.642836182481726
sub3,44,LightGBM,0.7080797290678353,0.8414747346580498,0.6284768790579814
sub3,44,CatBoost,0.8024672235234384,0.8958053491263815,0.551766018315998
sub3,44,Ridge Regression,0.9927859662918269,0.9963864542896129,0.29748079959603035
sub3,46,XGBoost,0.5911461568781644,0.7688602973740837,0.7214570394663029
sub3,46,Hist Gradient Boosting,0.688523548855069,0.829773191212556,0.6444092713243899
sub3,46,LightGBM,0.7083581365522447,0.8416401467089392,0.630320423864092
sub3,46,CatBoost,0.8033541502318589,0.8963002567398153,0.5526333284621913
sub3,46,Ridge Regression,0.9958127082896862,0.9979041578677214,0.29636089716600833
sub3,48,XGBoost,0.5910207471161211,0.7687787374245734,0.7202084111971792
sub3,48,Hist Gradient Boosting,0.6865713838257952,0.8285960317463481,0.644332622184671
sub3,48,LightGBM,0.7075189734196708,0.8411414705147231,0.6294984222682933
sub3,48,CatBoost,0.8014145629240191,0.8952176064644948,0.5531431485343326
sub3,48,Ridge Regression,0.9940178260313829,0.9970044262847497,0.2966943347957768
sub3,50,XGBoost,0.5897057411122612,0.7679230046770712,0.7211722099496107
sub3,50,Hist Gradient Boosting,0.6858369367574719,0.8281527255026526,0.6446128440699753
sub3,50,LightGBM,0.7056373463112858,0.8400222296530526,0.6306682380461645
sub3,50,CatBoost,0.8001241940912104,0.8944966149132205,0.5545028722765217
sub3,50,Ridge Regression,0.9924225680481434,0.9962040795179186,0.29921694353948547
